Reference, Value, Footprint, Datasheet, MFG Name, MFG Part Num, Distrib PN, Distrib Link, Tolerance, Others
U7,74LS00,clock:SOIC-14,http://www.ti.com/lit/ds/symlink/sn7400.pdf,Texas Instruments,SN74LS00DR,296-14873-1-ND,http://www.digikey.com/product-detail/en/texas-instruments/SN74LS00DR/296-14873-1-ND/562561,-,http://www.digikey.com/products/en?keywords=74ls00&stock=1
U1,74LS90,clock:SOIC-14,http://www.ti.com/lit/ds/symlink/sn74ls93.pdf,Texas Instruments,SN74LS90D,296-3746-5-ND,http://www.digikey.com/product-detail/en/texas-instruments/SN74LS90D/296-3746-5-ND/377741,-,http://www.digikey.com/products/en?keywords=74ls90&stock=1
U9,74LS163,clock:SOIC-16,http://www.ti.com/lit/ds/symlink/sn74ls163a.pdf,Texas Instruments,SN74LS163ADR,296-44704-1-ND,http://www.digikey.com/product-detail/en/texas-instruments/SN74LS163ADR/296-44704-1-ND/6165048,-,http://www.digikey.com/products/en?keywords=74ls163&stock=1
U5,74LS247,clock:SOIC-16,http://www.ti.com/lit/ds/symlink/sn74ls247.pdf,Texas Instruments,SN74LS247DR,296-38241-1-ND,http://www.digikey.com/product-detail/en/texas-instruments/SN74LS247DR/296-38241-1-ND/4967446,-,http://www.digikey.com/products/en?keywords=74ls247&stock=1
U11,74LS73,clock:SOIC-14,http://www.ti.com/lit/ds/symlink/sn74ls73a.pdf,Texas Instruments,SN74LS73ADR,296-3742-1-ND,http://www.digikey.com/product-detail/en/texas-instruments/SN74LS73ADR/296-3742-1-ND/405154,-,http://www.digikey.com/products/en?keywords=74LS73&stock=1
U3,MAX6817,TO_SOT_Packages_SMD:SOT-23-6_Handsoldering,http://datasheets.maximintegrated.com/en/ds/MAX6816-MAX6818.pdf,Maxim,MAX6817EUT+T,MAX6817EUT+TCT-ND,http://www.digikey.com/product-detail/en/maxim-integrated/MAX6817EUT-T/MAX6817EUT-TCT-ND/774156,-,http://www.digikey.com/products/en?keywords=MAX6817&stock=1
C3,100nF,Capacitors_SMD:C_0805_HandSoldering,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf,TDK,C2012X7T2E104K125AE,445-8883-1-ND,http://www.digikey.com/product-detail/en/tdk-corporation/C2012X7T2E104K125AE/445-8883-1-ND/3283672,10%,http://www.digikey.com/products/en/capacitors/ceramic-capacitors/60?k=&pkeyword=&pv3=3&pv3=2&pv14=34&pv14=4&pv14=9&pv14=20&pv14=22&pv14=32&pv14=38&pv14=2&pv14=14&pv14=18&FV=ffe0003c%2C340028%2C400006%2C1f140000&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
D1,LED,LEDs:LED_0805,http://optoelectronics.liteon.com/upload/download/DS22-2000-109/S_110_LTST-C171KRKT.pdf,Lite-On,LTST-C171KRKT,160-1427-1-ND,http://www.digikey.com/product-detail/en/lite-on-inc/LTST-C171KRKT/160-1427-1-ND/386800,-,http://www.digikey.com/products/en/optoelectronics/led-indication-discrete/105?k=&pkeyword=&pv1989=0&pv37=1&pv1843=2&pv16=6&FV=ffe00069&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R1,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
P1,CONN_01X03,Pin_Headers:Pin_Header_Angled_1x03,http://www.molex.com/pdm_docs/sd/705530002_sd.pdf,Molex,0705530002,WM4901-ND,http://www.digikey.com/product-detail/en/molex-llc/0705530002/WM4901-ND/114955,-,-
